pond,dompred,Pondnum
ANF  1-1,N,1
ANF 11-1,S,2
ANF 13-1,B,3
ANF 13-2,S,4
ANF 17-1,B,5
ANF 66-1,G,6
ANF 67-1,G,7
ANF 84-1,G,8
ANF 85-1,G,9
DC 10-1,B,10
DC 13-1,O,11
DC 15-2,S,12
DC 15-3,B,13
DC 17-2,S,14
DC 18-1,B,15
DC 19-1,S,16
DC 19-2,B,17
DC 29-1,G,18
DC 29-2,G,19
DC 29-4,B,20
DC 29-5,S,21
DC 34-3,N,22
DC 36-1,G,23
DC 36-2,S,24
DC 36-3,S,25
DC 5,N,26
DC 55-1,S,27
DC 6,B,28
DC 6-1,S,29
DC 68-1,G,30
DC 7,G,31
DC 76-1,G,32
DC 76-2,G,33
DC 78-1,G,34
DC 8,B,35
DC 81-1,G,36
DC 8-2,S,37
DC 82-1,B,38
DC 87-1,G,39
DC 94-1,N,40
DC101-1,O,41
DC108-1,N,42
DC114-1,B,43
DC114-2,G,44
DC114-3,S,45
DC115-1,B,46
DC116-1,B,47
DC120-1,O,48
DC121-1,S,49