"","year","season","dompred","contrast","response","SE","df","asymp.LCL","asymp.UCL"
"1","2008","W","N",".",0.191385881544157,0.0518555576300208,Inf,0.0968214855313513,8.20980524191652
"2","2008","W","S",".",0.386197454256335,0.0918580797956615,Inf,0.207924796202746,2.70806869192164
"3","2008","W","G",".",0.150048659192215,0.0152996887884133,Inf,0.109720475789539,0.237251281257122
"4","2008","W","B",".",0.275818506797837,0.0543747368994215,Inf,0.161237856774375,0.953172896359059
"5","2009","W","N",".",0.148952867586937,0.0261497788398426,Inf,0.0912235340211614,0.40568238080398
"6","2009","W","S",".",0.218987495927952,0.0261332687610159,Inf,0.153119397239028,0.384306410753496
"7","2009","W","G",".",0.130030737243142,0.00927488730569335,Inf,0.103435555276213,0.17503560863225
"8","2009","W","B",".",0.161208339518779,0.0146935511470849,Inf,0.121340994554231,0.240092107646567
"9","2010","W","N",".",0.122412519486279,0.0188258433668043,Inf,0.0787538240296611,0.274694933759401
"10","2010","W","S",".",0.27702872165187,0.0405664341678986,Inf,0.181319029156478,0.58674183000894
"11","2010","W","G",".",0.102150300742345,0.0062950985871246,Inf,0.0835829101373562,0.131322789833292
"12","2010","W","B",".",0.146075542441023,0.0123876650130419,Inf,0.111876055546922,0.210389771119029
"13","2011","W","N",".",0.11208507893031,0.017770350617518,Inf,0.071323479540847,0.261577422407316
"14","2011","W","S",".",0.224233311393151,0.028653933189987,Inf,0.15351794887434,0.415733850227484
"15","2011","W","G",".",0.103109063642949,0.00621487228909632,Inf,0.0847049587305304,0.131730565711564
"16","2011","W","B",".",0.10224407355441,0.00658484055462196,Inf,0.0829798948302474,0.13315713907123
"17","2008","Sp","N",".",0.174191524145162,0.0455283457172875,Inf,0.0896895158826733,3.01168781143688
"18","2008","Sp","S",".",0.374468294876024,0.0863756724056397,Inf,0.204463177755116,2.22197582016218
"19","2008","Sp","G",".",0.179461120540239,0.0215979891511117,Inf,0.12516259803887,0.316970480788905
"20","2008","Sp","B",".",0.315837879332278,0.0723810354953267,Inf,0.172957881769978,1.81617331241964
"21","2009","Sp","N",".",0.138326080635663,0.0238119371692807,Inf,0.0853586660354189,0.364522184164387
"22","2009","Sp","S",".",0.215165982790208,0.0244829475415557,Inf,0.152581928949521,0.364791287113697
"23","2009","Sp","G",".",0.151555975342131,0.0124788706624692,Inf,0.116868654144908,0.21552513485184
"24","2009","Sp","B",".",0.174101925990811,0.0172403228857577,Inf,0.128303478978602,0.270745702039062
"25","2010","Sp","N",".",0.115142894418446,0.0183261902288073,Inf,0.0731657202362038,0.270115599028911
"26","2010","Sp","S",".",0.27094117591466,0.0390800778903548,Inf,0.178258136030517,0.564386967323438
"27","2010","Sp","G",".",0.11497914722599,0.00783252810013351,Inf,0.0923113851548809,0.152402817004382
"28","2010","Sp","B",".",0.156583184910618,0.0149901877634025,Inf,0.11641093008733,0.239091171617964
"29","2011","Sp","N",".",0.105959638729252,0.0174017491477368,Inf,0.0665574920541204,0.259706062079267
"30","2011","Sp","S",".",0.220228191957134,0.0278030126123944,Inf,0.151351075813825,0.404149066085906
"31","2011","Sp","G",".",0.116195283694637,0.00754547655685512,Inf,0.0941552105380633,0.151707280843462
"32","2011","Sp","B",".",0.107283166689896,0.0072498204206678,Inf,0.0862686593334505,0.141832736752841
"33","2008","Su","N",".",0.175927634039966,0.0337742281888849,Inf,0.103974598308463,0.571240239657302
"34","2008","Su","S",".",0.244874498592384,0.0344604516664046,Inf,0.162461166679133,0.496985294450995
"35","2008","Su","G",".",0.119277194745243,0.00850316676121452,Inf,0.0948921272562742,0.160529552358179
"36","2008","Su","B",".",0.147220218115784,0.0137632909154631,Inf,0.110112646579462,0.222050423715821
"37","2009","Su","N",".",0.139418629860154,0.0226789809606673,Inf,0.0878852057987913,0.337062845115775
"38","2009","Su","S",".",0.164993459831544,0.01555977037684,Inf,0.123134624264255,0.249968754633257
"39","2009","Su","G",".",0.106271993111234,0.00635377815822504,Inf,0.0874293804053193,0.135467741428997
"40","2009","Su","B",".",0.106722153047553,0.00702631439901351,Inf,0.0862523205768702,0.139931365053452
"41","2010","Su","N",".",0.115898913291551,0.0164381156428887,Inf,0.0766901733002246,0.237138950167275
"42","2010","Su","S",".",0.195920560160907,0.0214240575519679,Inf,0.140527667061885,0.323396163133999
"43","2010","Su","G",".",0.0868898510323401,0.00447537378622607,Inf,0.0732836243968154,0.10670041667064
"44","2010","Su","B",".",0.0998727048363456,0.00626461723382171,Inf,0.0814549838241228,0.129052709366375
"45","2011","Su","N",".",0.10659953845528,0.0179536174047898,Inf,0.0663299719372991,0.271321350550688
"46","2011","Su","S",".",0.167953859027733,0.0169205103829111,Inf,0.123209509427794,0.263728674263984
"47","2011","Su","G",".",0.0875825770519957,0.0044867897159315,Inf,0.0739301442152246,0.107419349609043
"48","2011","Su","B",".",0.0772350426058356,0.00396712488247211,Inf,0.0651688081591551,0.0947847782669989
"49","2008","F","N",".",0.175410928169274,0.0338872473788931,Inf,0.103402709773149,0.577743562674841
"50","2008","F","S",".",0.238597831077082,0.0310942713248204,Inf,0.162336955337768,0.449988494224407
"51","2008","F","G",".",0.113735131752481,0.00757996803282806,Inf,0.0917042163661862,0.149698535651074
"52","2008","F","B",".",0.116970323344027,0.00885166174790966,Inf,0.0919011249989134,0.160846841397945
"53","2009","F","N",".",0.139093930317765,0.0237926667358937,Inf,0.0860408855554908,0.362793218718196
"54","2009","F","S",".",0.162119887742507,0.0153803612070886,Inf,0.120806483475661,0.246375328954038
"55","2009","F","G",".",0.101850183417176,0.00599985044213361,Inf,0.0840106512777617,0.1293086825953
"56","2009","F","B",".",0.089873442271166,0.00521400930137477,Inf,0.0743291755213469,0.113638330055837
"57","2010","F","N",".",0.115674437533152,0.0167426234415539,Inf,0.0760144381915064,0.241866678743544
"58","2010","F","S",".",0.191881938375658,0.0208796497014891,Inf,0.137821766451548,0.315723546647831
"59","2010","F","G",".",0.0839112744142056,0.00424368920794256,Inf,0.0709727339675241,0.102619028448056
"60","2010","F","B",".",0.0849662612319739,0.00473234340554124,Inf,0.0707597746886323,0.106310237619854
"61","2011","F","N",".",0.106409610512097,0.0184832254230911,Inf,0.0654371652659865,0.284619781600292
"62","2011","F","S",".",0.164977173752717,0.0171457113314428,Inf,0.120015724704222,0.263807156815535
"63","2011","F","G",".",0.0845571447748145,0.00430729024920018,Inf,0.071439324742353,0.103575951184771
"64","2011","F","B",".",0.0680081386499369,0.00319012836195982,Inf,0.0581718620147502,0.0818477737749054
"65","2008","W",".","N - S",0.379406311462611,0.22204078348727,Inf,0.122011561467866,Inf
"66","2008","W",".","N - G",Inf,Inf,Inf,0.237174343270982,Inf
"67","2008","W",".","N - B",0.625205812458095,0.617300608034854,Inf,0.137132616018394,Inf
"68","2008","W",".","S - G",Inf,Inf,Inf,Inf,Inf
"69","2008","W",".","S - B",Inf,Inf,Inf,0.423507464076701,Inf
"70","2008","W",".","G - B",0.329062950407551,0.106851061393659,Inf,0.15160718071521,Inf
"71","2009","W",".","N - S",0.465752674881386,0.281469126170776,Inf,0.146534920183669,Inf
"72","2009","W",".","N - G",Inf,Inf,Inf,0.269649908013195,Inf
"73","2009","W",".","N - B",1.95932433967411,4.98967979925883,Inf,0.192470343154356,Inf
"74","2009","W",".","S - G",Inf,Inf,Inf,Inf,Inf
"75","2009","W",".","S - B",Inf,Inf,Inf,0.838880262198853,Inf
"76","2009","W",".","G - B",0.67234289064461,0.356504883392679,Inf,0.230936804239146,Inf
"77","2010","W",".","N - S",0.219328785162822,0.0655274784032927,Inf,0.105601028788987,Inf
"78","2010","W",".","N - G",Inf,Inf,Inf,0.293746560338356,Inf
"79","2010","W",".","N - B",0.755671632476077,0.786888792956122,Inf,0.158967488757722,Inf
"80","2010","W",".","S - G",Inf,Inf,Inf,Inf,Inf
"81","2010","W",".","S - B",Inf,Inf,Inf,Inf,Inf
"82","2010","W",".","G - B",0.339705827774668,0.0967488560472453,Inf,0.167621159077878,Inf
"83","2011","W",".","N - S",0.224107039891457,0.0765791429188323,Inf,0.100417253391779,Inf
"84","2011","W",".","N - G",Inf,Inf,Inf,0.210934436701155,Inf
"85","2011","W",".","N - B",Inf,Inf,Inf,0.212199673184793,Inf
"86","2011","W",".","S - G",Inf,Inf,Inf,Inf,Inf
"87","2011","W",".","S - B",Inf,Inf,Inf,Inf,Inf
"88","2011","W",".","G - B",Inf,Inf,Inf,0.331048834906019,Inf
"89","2008","Sp",".","N - S",0.325695300510671,0.171895858828483,Inf,0.112212031168577,Inf
"90","2008","Sp",".","N - G",5.93225814047377,57.7732396927216,Inf,0.164302705958647,Inf
"91","2008","Sp",".","N - B",0.38840591069914,0.250542840131337,Inf,0.116805587302665,Inf
"92","2008","Sp",".","S - G",Inf,Inf,Inf,2.63458297221176,Inf
"93","2008","Sp",".","S - B",Inf,Inf,Inf,0.3412732490039,Inf
"94","2008","Sp",".","G - B",0.415617882666178,0.170658609484667,Inf,0.167578008694696,Inf
"95","2009","Sp",".","N - S",0.387338690588497,0.202685266110344,Inf,0.134200851136823,Inf
"96","2009","Sp",".","N - G",1.58460399958757,3.40705671754291,Inf,0.181087475772795,Inf
"97","2009","Sp",".","N - B",0.673159133330253,0.617025174048076,Inf,0.156398831292206,Inf
"98","2009","Sp",".","S - G",Inf,Inf,Inf,1.27946573182491,Inf
"99","2009","Sp",".","S - B",Inf,Inf,Inf,0.588314455016715,Inf
"100","2009","Sp",".","G - B",1.17032932492581,1.07755989817682,Inf,0.27097393069213,Inf
"101","2010","Sp",".","N - S",0.200239379487053,0.0593536190738594,Inf,0.0968048745436776,Inf
"102","2010","Sp",".","N - G",Inf,Inf,Inf,0.18492443454774,Inf
"103","2010","Sp",".","N - B",0.435070336470563,0.28517938429956,Inf,0.129376946164161,Inf
"104","2010","Sp",".","S - G",Inf,Inf,Inf,Inf,Inf
"105","2010","Sp",".","S - B",Inf,Inf,Inf,4.47165449382914,Inf
"106","2010","Sp",".","G - B",0.432741677801259,0.159528677323732,Inf,0.185816636811842,Inf
"107","2011","Sp",".","N - S",0.204214536708428,0.0689047588421345,Inf,0.0921429902188805,Inf
"108","2011","Sp",".","N - G",1.20285632453683,2.38319267414273,Inf,0.147735926620284,Inf
"109","2011","Sp",".","N - B",8.58892741386366,123.255655045934,Inf,0.162886518762713,Inf
"110","2011","Sp",".","S - G",Inf,Inf,Inf,Inf,Inf
"111","2011","Sp",".","S - B",Inf,Inf,Inf,Inf,Inf
"112","2011","Sp",".","G - B",Inf,Inf,Inf,0.430334197524992,Inf
"113","2008","Su",".","N - S",0.624831766516786,0.480915984146044,Inf,0.165542549402463,Inf
"114","2008","Su",".","N - G",Inf,Inf,Inf,0.561484229049806,Inf
"115","2008","Su",".","N - B",Inf,Inf,Inf,0.292440047815913,Inf
"116","2008","Su",".","S - G",Inf,Inf,Inf,Inf,Inf
"117","2008","Su",".","S - B",Inf,Inf,Inf,2.66295698230095,Inf
"118","2008","Su",".","G - B",0.628422142936252,0.344709691335999,Inf,0.211071169729671,Inf
"119","2009","Su",".","N - S",0.899445358242234,1.05064026381874,Inf,0.172616532433134,Inf
"120","2009","Su",".","N - G",Inf,Inf,Inf,0.41152302714093,Inf
"121","2009","Su",".","N - B",Inf,Inf,Inf,0.393709556192452,Inf
"122","2009","Su",".","S - G",Inf,Inf,Inf,Inf,Inf
"123","2009","Su",".","S - B",Inf,Inf,Inf,Inf,Inf
"124","2009","Su",".","G - B",25.1945475340194,530.632069485122,Inf,0.327541303821881,Inf
"125","2010","Su",".","N - S",0.283760468604111,0.108261134687692,Inf,0.119463999257738,Inf
"126","2010","Su",".","N - G",Inf,Inf,Inf,0.494743201997203,Inf
"127","2010","Su",".","N - B",Inf,Inf,Inf,0.281019599569431,Inf
"128","2010","Su",".","S - G",Inf,Inf,Inf,Inf,Inf
"129","2010","Su",".","S - B",Inf,Inf,Inf,Inf,Inf
"130","2010","Su",".","G - B",0.668414246700493,0.386398956116138,Inf,0.216748604328803,Inf
"131","2011","Su",".","N - S",0.291809992957172,0.143904371047432,Inf,0.105056729191908,Inf
"132","2011","Su",".","N - G",Inf,Inf,Inf,0.247868021363131,Inf
"133","2011","Su",".","N - B",Inf,Inf,Inf,0.383517793573938,Inf
"134","2011","Su",".","S - G",Inf,Inf,Inf,Inf,Inf
"135","2011","Su",".","S - B",Inf,Inf,Inf,Inf,Inf
"136","2011","Su",".","G - B",Inf,Inf,Inf,0.599469697276998,Inf
"137","2008","F",".","N - S",0.662363006926784,0.538595004269264,Inf,0.168491275299478,Inf
"138","2008","F",".","N - G",Inf,Inf,Inf,0.712416818929899,Inf
"139","2008","F",".","N - B",Inf,Inf,Inf,0.577071100043403,Inf
"140","2008","F",".","S - G",Inf,Inf,Inf,Inf,Inf
"141","2008","F",".","S - B",Inf,Inf,Inf,Inf,Inf
"142","2008","F",".","G - B",4.11216299258045,14.7783158842289,Inf,0.294680834838699,Inf
"143","2009","F",".","N - S",0.979324852939685,1.30555498311172,Inf,0.168689049527247,Inf
"144","2009","F",".","N - G",Inf,Inf,Inf,0.440832687648256,Inf
"145","2009","F",".","N - B",Inf,Inf,Inf,0.952578940204791,Inf
"146","2009","F",".","S - G",Inf,Inf,Inf,Inf,Inf
"147","2009","F",".","S - B",Inf,Inf,Inf,Inf,Inf
"148","2009","F",".","G - B",Inf,Inf,Inf,0.549355180932455,Inf
"149","2010","F",".","N - S",0.291255257671371,0.11648413521811,Inf,0.11928564898389,Inf
"150","2010","F",".","N - G",Inf,Inf,Inf,0.576420907491166,Inf
"151","2010","F",".","N - B",Inf,Inf,Inf,0.512222908421687,Inf
"152","2010","F",".","S - G",Inf,Inf,Inf,Inf,Inf
"153","2010","F",".","S - B",Inf,Inf,Inf,Inf,Inf
"154","2010","F",".","G - B",6.75802497444223,40.7319202022785,Inf,0.297365944460402,Inf
"155","2011","F",".","N - S",0.299741970317073,0.15719645937892,Inf,0.103700718497822,Inf
"156","2011","F",".","N - G",Inf,Inf,Inf,0.260288352408235,Inf
"157","2011","F",".","N - B",Inf,Inf,Inf,0.929278783017884,Inf
"158","2011","F",".","S - G",Inf,Inf,Inf,Inf,Inf
"159","2011","F",".","S - B",Inf,Inf,Inf,Inf,Inf
"160","2011","F",".","G - B",Inf,Inf,Inf,2.33192390135266,Inf
