"","dompred","season","contrast","response","SE","df","asymp.LCL","asymp.UCL"
"1","N","W_Sp",".",0.144908842827252,0.0328336289090411,Inf,0.0801865695549853,0.751391643826994
"2","S","W_Sp",".",0.218578016454302,0.0416162551951215,Inf,0.130242255146776,0.679324161494372
"3","G","W_Sp",".",0.125631522065206,0.0142351974479642,Inf,0.0895041614927129,0.210663506348131
"4","B","W_Sp",".",0.163938579307267,0.0214296344945648,Inf,0.111853665592688,0.306801304216158
"5","N","Sp_Su",".",0.152569800583708,0.0361347366758133,Inf,0.0827522805544476,0.976090660314399
"6","S","Sp_Su",".",0.188194920979266,0.0304777107428351,Inf,0.119344662352048,0.444802941392016
"7","G","Sp_Su",".",0.124407078931778,0.0141991145872411,Inf,0.088446601299331,0.209643664655614
"8","B","Sp_Su",".",0.143262844797148,0.0184233407192844,Inf,0.0982529112292981,0.264372734031047
"9","N","Su_F",".",0.0584383677111536,0.0108852867358799,Inf,0.0351288315120442,0.173688153042204
"10","S","Su_F",".",0.19487906731753,0.0312346184273164,Inf,0.124051620605639,0.454212106159054
"11","G","Su_F",".",0.125290026006995,0.0141885566820469,Inf,0.0892752376804104,0.210011312079846
"12","B","Su_F",".",0.147812139986447,0.0191989323612057,Inf,0.10105463395158,0.275099296648663
"13","N","F_W",".",0.102643592475991,0.0163809463541205,Inf,0.0654403447371192,0.237879696949797
"14","S","F_W",".",0.185637797773941,0.0259077156868616,Inf,0.1239937981144,0.369174178425746
"15","G","F_W",".",0.13258881477591,0.0134026736498429,Inf,0.0974852277667927,0.207199596720584
"16","B","F_W",".",0.160062587391453,0.0178994940543985,Inf,0.114464256517671,0.266045143381925
"17",".",".","N W_Sp - S W_Sp",0.429947641223963,0.328537976892461,Inf,0.115513269190722,Inf
"18",".",".","N W_Sp - G W_Sp",Inf,Inf,Inf,0.187731624510069,Inf
"19",".",".","N W_Sp - B W_Sp",1.24836987874779,2.70901226716193,Inf,0.142992934877943,Inf
"20",".",".","N W_Sp - N Sp_Su",2.8858941604708,12.2444833720393,Inf,0.17908895612731,Inf
"21",".",".","N W_Sp - S Sp_Su",0.630020306512859,0.700702249993213,Inf,0.12697074761236,Inf
"22",".",".","N W_Sp - G Sp_Su",Inf,Inf,Inf,0.189635457305274,Inf
"23",".",".","N W_Sp - B Sp_Su",Inf,Inf,Inf,0.159081924002682,Inf
"24",".",".","N W_Sp - N Su_F",Inf,Inf,Inf,0.855520948142565,Inf
"25",".",".","N W_Sp - S Su_F",0.565130543724723,0.55825990536391,Inf,0.125057328652842,Inf
"26",".",".","N W_Sp - G Su_F",Inf,Inf,Inf,0.188513024487352,Inf
"27",".",".","N W_Sp - B Su_F",7.37757280318944,96.7228916015161,Inf,0.154656676347739,Inf
"28",".",".","N W_Sp - N F_W",Inf,Inf,Inf,0.258681593542688,Inf
"29",".",".","N W_Sp - S F_W",0.66047750293696,0.749891470755112,Inf,0.1309293330121,Inf
"30",".",".","N W_Sp - G F_W",Inf,Inf,Inf,0.181610681359164,Inf
"31",".",".","N W_Sp - B F_W",1.53061074908343,3.97337152403951,Inf,0.149364864618853,Inf
"32",".",".","S W_Sp - G W_Sp",Inf,Inf,Inf,0.943084769893598,Inf
"33",".",".","S W_Sp - B W_Sp",Inf,Inf,Inf,0.376972924510921,Inf
"34",".",".","S W_Sp - N Sp_Su",Inf,Inf,Inf,0.231722277985449,Inf
"35",".",".","S W_Sp - S Sp_Su",Inf,Inf,Inf,0.481523537641476,Inf
"36",".",".","S W_Sp - G Sp_Su",Inf,Inf,Inf,0.979649014427852,Inf
"37",".",".","S W_Sp - B Sp_Su",Inf,Inf,Inf,0.494193366816675,Inf
"38",".",".","S W_Sp - N Su_F",Inf,Inf,Inf,Inf,Inf
"39",".",".","S W_Sp - S Su_F",Inf,Inf,Inf,0.465536092719296,Inf
"40",".",".","S W_Sp - G Su_F",Inf,Inf,Inf,0.959774395337753,Inf
"41",".",".","S W_Sp - B Su_F",Inf,Inf,Inf,0.456754165140881,Inf
"42",".",".","S W_Sp - N F_W",Inf,Inf,Inf,0.868540724949931,Inf
"43",".",".","S W_Sp - S F_W",Inf,Inf,Inf,0.510117501853505,Inf
"44",".",".","S W_Sp - G F_W",Inf,Inf,Inf,0.883506307236801,Inf
"45",".",".","S W_Sp - B F_W",Inf,Inf,Inf,0.439477418183884,Inf
"46",".",".","G W_Sp - B W_Sp",0.537651668553788,0.345616319760198,Inf,0.163423655041239,Inf
"47",".",".","G W_Sp - N Sp_Su",0.711536791608712,0.902415541195246,Inf,0.128950474398269,Inf
"48",".",".","G W_Sp - S Sp_Su",0.377908086484305,0.176691347158119,Inf,0.141774991746939,Inf
"49",".",".","G W_Sp - G Sp_Su",Inf,Inf,Inf,0.316238291494078,Inf
"50",".",".","G W_Sp - B Sp_Su",1.02081559738285,1.31801950623906,Inf,0.182307518402403,Inf
"51",".",".","G W_Sp - N Su_F",Inf,Inf,Inf,0.379011540374073,Inf
"52",".",".","G W_Sp - S Su_F",0.353556992620293,0.151437009882175,Inf,0.13997761517344,Inf
"53",".",".","G W_Sp - G Su_F",Inf,Inf,Inf,0.314693362912873,Inf
"54",".",".","G W_Sp - B Su_F",0.837211307284182,0.877097509746853,Inf,0.176925694889051,Inf
"55",".",".","G W_Sp - N F_W",Inf,Inf,Inf,0.217835855343653,Inf
"56",".",".","G W_Sp - S F_W",0.388658666309772,0.176169911267667,Inf,0.148643764518239,Inf
"57",".",".","G W_Sp - G F_W",2.39422650472822,4.92065666484081,Inf,0.287723959129367,Inf
"58",".",".","G W_Sp - B F_W",0.584033816239616,0.386285052584854,Inf,0.174020361860745,Inf
"59",".",".","B W_Sp - N Sp_Su",Inf,Inf,Inf,0.175410792719131,Inf
"60",".",".","B W_Sp - S Sp_Su",1.27193162082642,1.87732712974328,Inf,0.203255293815478,Inf
"61",".",".","B W_Sp - G Sp_Su",Inf,Inf,Inf,0.423580345712684,Inf
"62",".",".","B W_Sp - B Sp_Su",Inf,Inf,Inf,0.447202921309164,Inf
"63",".",".","B W_Sp - N Su_F",Inf,Inf,Inf,1.47014287246395,Inf
"64",".",".","B W_Sp - S Su_F",1.03256928016664,1.20806397067632,Inf,0.199811260861188,Inf
"65",".",".","B W_Sp - G Su_F",Inf,Inf,Inf,0.420102735927285,Inf
"66",".",".","B W_Sp - B Su_F",Inf,Inf,Inf,0.420670288523888,Inf
"67",".",".","B W_Sp - N F_W",Inf,Inf,Inf,0.393338463483501,Inf
"68",".",".","B W_Sp - S F_W",1.40250197856344,2.13433591338086,Inf,0.21842082699379,Inf
"69",".",".","B W_Sp - G F_W",Inf,Inf,Inf,0.407537346571283,Inf
"70",".",".","B W_Sp - B F_W",Inf,Inf,Inf,0.385028814359979,Inf
"71",".",".","N Sp_Su - S Sp_Su",0.805972337661298,1.13994811014661,Inf,0.133474374762917,Inf
"72",".",".","N Sp_Su - G Sp_Su",Inf,Inf,Inf,0.204469316983046,Inf
"73",".",".","N Sp_Su - B Sp_Su",Inf,Inf,Inf,0.169394449433362,Inf
"74",".",".","N Sp_Su - N Su_F",Inf,Inf,Inf,1.27587404758262,Inf
"75",".",".","N Sp_Su - S Su_F",0.702745822224475,0.858032036455123,Inf,0.131368105491809,Inf
"76",".",".","N Sp_Su - G Su_F",Inf,Inf,Inf,0.203173215908811,Inf
"77",".",".","N Sp_Su - B Su_F",Inf,Inf,Inf,0.164386241268459,Inf
"78",".",".","N Sp_Su - N F_W",Inf,Inf,Inf,0.288381678560871,Inf
"79",".",".","N Sp_Su - S F_W",0.856499461525723,1.25330615831959,Inf,0.13786388231758,Inf
"80",".",".","N Sp_Su - G F_W",Inf,Inf,Inf,0.195225988643279,Inf
"81",".",".","N Sp_Su - B F_W",3.25923019910054,17.9020910183466,Inf,0.158471481093488,Inf
"82",".",".","S Sp_Su - G Sp_Su",Inf,Inf,Inf,0.581016217433566,Inf
"83",".",".","S Sp_Su - B Sp_Su",Inf,Inf,Inf,0.367508168190458,Inf
"84",".",".","S Sp_Su - N Su_F",Inf,Inf,Inf,Inf,Inf
"85",".",".","S Sp_Su - S Su_F",5.48690121644778,22.52158369908,Inf,0.351234309040993,Inf
"86",".",".","S Sp_Su - G Su_F",Inf,Inf,Inf,0.574131314586911,Inf
"87",".",".","S Sp_Su - B Su_F",Inf,Inf,Inf,0.346485957459402,Inf
"88",".",".","S Sp_Su - N F_W",Inf,Inf,Inf,0.538883987164071,Inf
"89",".",".","S Sp_Su - S F_W",Inf,Inf,Inf,0.369650262154743,Inf
"90",".",".","S Sp_Su - G F_W",Inf,Inf,Inf,0.546850168982987,Inf
"91",".",".","S Sp_Su - B F_W",Inf,Inf,Inf,0.336905998542586,Inf
"92",".",".","G Sp_Su - B Sp_Su",0.945223448780857,1.13953574444899,Inf,0.178526315678784,Inf
"93",".",".","G Sp_Su - N Su_F",Inf,Inf,Inf,0.366175756960959,Inf
"94",".",".","G Sp_Su - S Su_F",0.34402797572865,0.144688514706998,Inf,0.137710600921385,Inf
"95",".",".","G Sp_Su - G Su_F",17.6533413976032,283.739746147267,Inf,0.3030301788577,Inf
"96",".",".","G Sp_Su - B Su_F",0.78567949570465,0.779056933915095,Inf,0.173352931791634,Inf
"97",".",".","G Sp_Su - N F_W",Inf,Inf,Inf,0.212992782582304,Inf
"98",".",".","G Sp_Su - S F_W",0.377174343157986,0.167553417935218,Inf,0.146050999138196,Inf
"99",".",".","G Sp_Su - G F_W",2.0160742731785,3.5811538854129,Inf,0.275131277093761,Inf
"100",".",".","G Sp_Su - B F_W",0.558480857625511,0.356920658709308,Inf,0.170443927996029,Inf
"101",".",".","B Sp_Su - N Su_F",Inf,Inf,Inf,0.605086124358636,Inf
"102",".",".","B Sp_Su - S Su_F",0.540894474877547,0.352813861660376,Inf,0.162743590820756,Inf
"103",".",".","B Sp_Su - G Su_F",Inf,Inf,Inf,0.285137821192404,Inf
"104",".",".","B Sp_Su - B Su_F",4.65478426632456,20.4779848255147,Inf,0.279202929484585,Inf
"105",".",".","B Sp_Su - N F_W",Inf,Inf,Inf,0.278136248472109,Inf
"106",".",".","B Sp_Su - S F_W",0.627611292584511,0.457274228504283,Inf,0.174556672831549,Inf
"107",".",".","B Sp_Su - G F_W",Inf,Inf,Inf,0.277608753329936,Inf
"108",".",".","B Sp_Su - B F_W",1.36496267645586,1.63868822852282,Inf,0.258679792549911,Inf
"109",".",".","N Su_F - S Su_F",0.0834678701293926,0.0229068219213521,Inf,0.0422060515891026,3.73091075041697
"110",".",".","N Su_F - G Su_F",0.109522258639204,0.0397050682980728,Inf,0.047796416476414,Inf
"111",".",".","N Su_F - B Su_F",0.0966491619274348,0.030853766792481,Inf,0.045222252694888,Inf
"112",".",".","N Su_F - N F_W",0.135692647921499,0.0622084954465126,Inf,0.0515327771925665,Inf
"113",".",".","N Su_F - S F_W",0.0852863089248706,0.0237976016940639,Inf,0.0427716839410886,14.1906708408744
"114",".",".","N Su_F - G F_W",0.104493960845496,0.0357541145018881,Inf,0.0470929903566262,Inf
"115",".",".","N Su_F - B F_W",0.0920429831412885,0.0276171861164454,Inf,0.0444899200139518,Inf
"116",".",".","S Su_F - G Su_F",Inf,Inf,Inf,0.68119010235368,Inf
"117",".",".","S Su_F - B Su_F",Inf,Inf,Inf,0.382975882331619,Inf
"118",".",".","S Su_F - N F_W",Inf,Inf,Inf,0.620938816487181,Inf
"119",".",".","S Su_F - S F_W",Inf,Inf,Inf,0.415718525128053,Inf
"120",".",".","S Su_F - G F_W",Inf,Inf,Inf,0.646531019311746,Inf
"121",".",".","S Su_F - B F_W",Inf,Inf,Inf,0.372789810764245,Inf
"122",".",".","G Su_F - B Su_F",0.822275692235079,0.846588947419365,Inf,0.176166283302917,Inf
"123",".",".","G Su_F - N F_W",Inf,Inf,Inf,0.216765092898509,Inf
"124",".",".","G Su_F - S F_W",0.385408836647677,0.17336409116413,Inf,0.14809858082128,Inf
"125",".",".","G Su_F - G F_W",2.27600175555958,4.49986767908809,Inf,0.282980579240451,Inf
"126",".",".","G Su_F - B F_W",0.576726158170942,0.376964861074996,Inf,0.173273802153133,Inf
"127",".",".","B Su_F - N F_W",Inf,Inf,Inf,0.298857419651387,Inf
"128",".",".","B Su_F - S F_W",0.725420832216425,0.603138980151543,Inf,0.183103920212915,Inf
"129",".",".","B Su_F - G F_W",Inf,Inf,Inf,0.299825322101783,Inf
"130",".",".","B Su_F - B F_W",1.93129220443246,3.20427050804653,Inf,0.279480340985433,Inf
"131",".",".","N F_W - S F_W",0.229588685070756,0.0904791673936021,Inf,0.0955080286881108,Inf
"132",".",".","N F_W - G F_W",0.454476247810981,0.355767595589624,Inf,0.119959477563849,Inf
"133",".",".","N F_W - B F_W",0.286131775992419,0.138655787187566,Inf,0.104954900925898,Inf
"134",".",".","S F_W - G F_W",Inf,Inf,Inf,0.614924863684709,Inf
"135",".",".","S F_W - B F_W",Inf,Inf,Inf,0.362924937622854,Inf
"136",".",".","G F_W - B F_W",0.772464308021242,0.61119914868933,Inf,0.202290268020163,Inf
