"","spID","Axis.1","Axis.2","Axis.3","Axis.4","Axis.5","Axis.6","Axis.7","Axis.8","Axis.9","Axis.10","Axis.11","Axis.12","Axis.13","Axis.14","Axis.15","suborder","family","genus","species","spLabel","latin"
"1","Ajun",-0.376625524654369,-0.104873343432699,0.0267072355969237,-0.030048287294526,-0.0389639438720076,0.0293870685207288,-0.0170220886194116,0.0092793253344951,0.000409485714480153,0.00452128969484555,-0.0018280077451618,-0.000449332560156694,0.00011926115748948,5.89705168419071e-06,-3.39448222132869e-06,"Anisoptera","Aeshnidae","Anax","junius","A. junius","Anax junius"
"2","Along",-0.629368543820602,-0.163597044031828,-0.0093114708782965,0.016021093620246,-0.0230936529690186,-0.0308258999900207,0.00352218142153068,-0.00090879508198843,0.00451495720657134,0.00208448867541094,0.000891903394417048,-8.34862789329514e-05,-0.000864723048189805,-0.000503600049331581,0.000164542183104767,"Anisoptera","Aeshnidae","Anax","longipes","A. longipes","Anax longipes"
"3","Bjanata",-0.154907450305655,-0.0758591618907594,0.00731466132709451,-0.0675939083619723,0.0344136840339726,-0.0156103248568077,0.0178502102518434,0.00786138990965593,0.00210039012414445,-0.00186361413686516,-0.000554092796896722,-0.000880151801654117,0.000689157623792886,0.000814083956523942,-0.000180246006254859,"Anisoptera","Aeshnidae","Basiaeschna","janata","B. janata","Basiaeschna janata"
"4","CelithemisF",-0.0339829458738762,0.0414996636335821,-0.00168492480774231,0.0282370330191775,-0.0299662265202096,0.0228858423866352,0.0144280933094779,-0.00170808284242188,-0.000866901316896099,0.00848831312421575,-0.00853506931250481,-0.00613988663224827,-0.00214707887339807,8.35548856640387e-05,0.000344314285134642,"Anisoptera","Libellulidae","Celithemis","fasciata","C. fasciata","Celithemis fasciata"
"5","CelithemisO",0.05786329738046,-0.00154170783527981,0.0404431121984535,0.0205828425009506,-0.00923151956445786,-0.000246273014593859,0.0048492105570482,0.00244579475992867,0.0101943684684799,-0.00200794737860032,-0.00621269467461224,0.00717222996316697,-0.000289903226272756,-0.00100092403647957,0.000485701175474542,"Anisoptera","Libellulidae","Celithemis","ornata/verna","C. ornata/verna","Celithemis ornata/verna"
"6","Eheros",-0.405588721580366,-0.092260761034854,0.00578319989456962,0.0369588237965863,0.0623094223412591,0.0263613365871067,0.0062775099558075,-0.0108161258718188,-0.00418112211349731,-0.00427760817259096,0.00052416056702588,0.000474732352609413,0.000622499756682483,0.000390814450290766,-0.000174798273343243,"Anisoptera","Aeshnidae","Epiaeschna","heros","E. heros","Epiaeschna heros"
"7","Enalaspersum",0.240661670057913,-0.0346630745541777,-0.00658272594886525,-0.00328461423643326,0.00308610607802564,-0.00145040417666844,-0.00371916677918653,-0.00124246641028714,0.00174090823522426,0.00612646459623096,-0.00476406685971755,0.00432479369881975,-0.00292333791909924,0.00212901455240885,-0.00360099173768196,"Zygoptera","Coenagrionidae","Enallagma","aspersum","E. aspersum","Enallagma aspersum"
"8","Enaldivagans",0.241338654340366,-0.0342959849403732,-0.000676392737304764,-0.000362973566806622,0.00122512029211242,-0.00275070184185114,-0.00689900034953246,-0.00212400961720861,0.0119696039710503,-0.00721936144652171,0.00550195724560032,0.000458914357956523,-0.00653945092273506,0.00545455673149857,0.00093197756024982,"Zygoptera","Coenagrionidae","Enallagma","divigans","E. divigans","Enallagma divigans"
"9","Enaldubium",0.25094021014754,-0.0357850525882302,-0.00698230814906798,-0.00332432031251112,0.00338165869061767,-0.00204330184100144,0.000864050309491036,0.00133034027471115,-0.0107518907992551,0.0141489460530683,-0.00120699656413455,0.00430434035646389,-0.00617181227894173,0.000156719895101752,0.00136322567215283,"Zygoptera","Coenagrionidae","Enallagma","dubium","E. dubium","Enallagma dubium"
"10","Enalgeminatum",0.241859033794918,-0.0344314066120937,-0.00383398246749785,-0.00223533331309096,0.00249848766120098,-0.0020725556670234,-0.00569312126659167,-0.00213999148707113,0.00931411172100335,-0.00416545460704827,-0.00943999132195079,0.00777615366474651,0.00724409890438872,-0.000103141867632036,0.00209828540315717,"Zygoptera","Coenagrionidae","Enallagma","geminatum","E. geminatum","Enallagma geminatum"
"11","Enalsignatum",0.230810456814533,-0.033244961943595,-0.0078606947410971,-0.00534416908960838,0.00495312456177002,0.000449221157055928,-0.000190832970944552,-0.00135243097149782,-0.00186663062477229,0.0163540462910514,0.00549285129971478,0.00127582314694326,0.00315598118356074,-0.00167890539226038,0.00133727262522082,"Zygoptera","Coenagrionidae","Enallagma","signatum","E. sigatum","Enallagma signatum"
"12","Enalvesperum",0.227493881842353,-0.0328209767037835,-0.00842252797439852,-0.00603550069886534,0.00555069068282161,0.000746385392169773,0.000853063043195075,-0.00118737419211788,-0.00310166456336147,0.0165335206665565,0.00934310753131565,-0.00785980908715395,0.00526461878686063,0.000189767998908722,-0.000529957735437472,"Zygoptera","Coenagrionidae","Enallagma","vespersum","E. vespersum","Enallagma vespersum"
"13","Epitheca_cynosura",-0.148077062169542,0.127010246322019,-0.0201745979745488,0.0244947873347708,0.018684204667785,0.0120914694541771,0.00538255946077676,0.0348441173832726,0.0123539958491214,0.00349232268051617,-0.00217852891783052,-0.00163568616440059,-0.0020840565121083,-0.0005207638823015,0.00028815624065661,"Anisoptera","Corduliidae","Epitheca","cynosura","E. cynosura","Epitheca cynosura"
"14","Epitheca_semiaquea",-0.0852137846563491,0.0762049231767008,-0.011538715670333,0.0598052409799776,0.0137876314071815,-0.0221226225480271,0.00486686461237871,-0.00865547903823832,0.00707842123759868,0.00774828978152348,0.0016462951041429,0.000837345582782534,0.00194059898859103,0.000449965007917253,-0.000269134761805826,"Anisoptera","Corduliidae","Epitheca","semiaquea","E. semiaquea","Epitheca semiaquea"
"15","Erythemis",-0.0633636507799335,0.0977709487545304,0.0426019154059182,-0.0288184835873662,-0.0116459719126812,0.0217273527363997,0.0334028063236114,-0.0267685179454836,0.00533083949433116,0.00186245718036076,0.00128074101129652,0.00176858642451251,0.00255638219372163,0.000987290923163596,-0.000545498801905365,"Anisoptera","Libellulidae","Erythemis","simplicicollis","E. simplicoliis","Erythemis simplicicollis"
"16","Erythrodiplax",0.14946623043781,-0.0162678356303244,0.045682362312364,0.0164087526856067,-0.00405192750871027,-0.0224194084250188,0.0161554947725265,0.013522849630102,-0.0190703626938533,-0.000152435143108115,-0.00702260638020237,-0.00347053974943891,-0.00210768352660364,0.000403489090684047,-0.000326443917071794,"Anisoptera","Libellulidae","Erythrodiplax","minuscula","E. minuscula","Erythrodiplax minuscula"
"17","Iposita",0.244737798373137,-0.0349813001906227,-0.00275807626369679,-0.00096280637431219,0.00142416218283375,-0.00254773166443543,-0.00568553917695547,-0.00154740595064925,0.00886333324786141,-0.00613105916765632,-0.0012863802440306,0.0011648290532216,-0.000962392094231176,-0.00568945269523343,-0.00230485370876035,"Zygoptera","Coenagrionidae","Ischnura","posita","I. posita","Ischnura posita"
"18","Ladona",-0.0490965346880355,0.0644241305242825,0.0190641870372838,-0.00678948847457764,0.00185492938907918,-0.0129609557051118,-0.0395507372519593,-0.0116578686681835,-0.00521058066171833,0.00346703999549177,-0.00594250138393272,-0.00016991648418468,0.0030542959688224,0.00203064683020131,-0.000587732433368932,"Anisoptera","Libellulidae","Ladona","deplanata","L. deplanata","Ladona deplanata"
"19","Lestes_d_australis",0.0962174646473865,-0.0503869421400493,-0.104069847733892,-0.0153614115573543,-0.00360208539187068,0.0168031412491728,-0.00679416988698322,-0.00426069216243174,0.00305469192667872,-0.00159277307482878,-0.00116822377638184,-0.000370945355743696,-0.00132318045887175,-0.000295729782604157,2.85426354769411e-05,"Zygoptera","Lestidae","Lestes","australis","L. australis","Lestes australis"
"20","Libellula",-0.113773022552493,0.0907780810821259,-0.00608372225149242,-0.0115328583987235,0.0120279502317356,0.0181317084359835,-0.0162364652091109,0.00385497324861003,-0.0150752522299337,-0.00791872860901062,-0.00271902942980542,-8.70121692785718e-05,-0.000615041531305739,0.000208089698649574,-0.000114270659695771,"Anisoptera","Libellulidae","Libellula","spp.","L. spp.","Libellula spp."
"21","Nehalennia",0.280426797880568,-0.0443324870180442,-0.0091803161198292,-0.00135593465597471,-0.00932548121108592,0.00281240707325711,0.025618206957769,0.00041232996101267,-0.0135358039649357,-0.0141833144685565,0.00461415061071099,0.00170988617020468,-0.00143748144685451,-0.00107335272756328,0.000467325821921682,"Zygoptera","Coenagrionidae","Nehalennia","integricollis","N. integricollis","Nehalennia integricollis"
"22","Pachydiplax",-0.045912340967981,0.0237322916992082,-0.00260927825374574,0.0196785312386879,-0.0175380164569859,0.00362112112703929,-0.00477752007034137,0.0219647167083415,-0.0145001359024067,-0.00707811832861972,0.0106429901793152,0.0064712868620032,0.00687417007895606,0.00137020724642523,-0.0007497710939404,"Anisoptera","Libellulidae","Pachydiplax","longipennis","P. longipennis","Pachydiplax longipennis"
"23","Pantala",-0.189200068937392,0.0736553767245239,-0.0326149934824124,0.0103092099944589,-0.00888932895501552,-0.0124635756890305,-0.00789524333364514,-0.0248298028000173,-0.0147152603725234,-0.00623009921020226,-0.000275469189797278,-0.000782549514961511,-0.00277173126401198,-0.00159568516539764,0.000726056985782049,"Anisoptera","Libellulidae","Pantala","flavescens","P. flavescens","Pantala flavescens"
"24","Perithemis_tenera",0.116632179163804,-0.00742496162753176,0.0409214571091154,0.0281327561239619,-0.0144269578526905,0.00549483194099154,-0.0138800286594436,-0.00490785255810718,0.0118901660806769,-0.00794948505169044,0.0133165548248346,-0.00297725524322944,-0.00266625204894408,-0.000711604345925683,6.50180970140703e-05,"Anisoptera","Libellulidae","Perithemis","tenera","P. tenera","Perithemis tenera"
"25","Plathemis",-0.0738064182613836,0.0877438638681091,0.0447940436554549,-0.0417413413126008,0.0221223508845076,-0.00675005634500009,-0.0176391043132366,0.00317414572736434,0.00114998058988832,0.0023190588967942,0.00426348483393932,-0.000777135423111175,-0.0039367052024389,-0.00269250868618823,0.000961120007848852,"Anisoptera","Libellulidae","Plathemis","lydia","P. lydia","Plathemis lydia"
"26","Telebasis",0.241936224512262,-0.0340179324921849,0.0026305380798621,0.000581156483490166,0.00111909304348756,-0.0064199730122866,-0.00307645975316141,0.00173344710322564,0.00558832976630563,-0.0136201945468696,-0.00677608938604013,-0.0127437596557039,0.00463143085695787,0.000578594384756426,0.000428354638120311,"Zygoptera","Coenagrionidae","Telebasis","byersi","T. byersi","Telebasis byersi"
"27","Tramea",-0.251467830145073,0.14796540888135,-0.0415581371628181,-0.036418796543193,-0.0177035039336565,-0.0198281012838322,0.0149892266650467,0.00368346555680343,0.0073220216097399,-0.00275604429389775,0.00239155138068491,0.00068854448676357,0.000688334854174345,0.000612975927044835,-0.000302799719859061,"Anisoptera","Libellulidae","Tramea","carolina","T. carolina","Tramea carolina"
